source,source_system,source_module,record_id,record_number,record_type,record_subtype,record_category,record_status,opened_date,filed_date,issued_date,expiration_date,completed_date,closed_date,updated_date,event_date,event_date_type,first_observed_date,snapshot_date,last_observed_date,historical_reconstruction,temporal_evidence,description,work_description,address,street_number,street_name,city,state,postal_code,parcel_id,property_id,valuation,estimated_cost,owner_name,applicant_name,contractor_name,contractor_license,parent_record_number,related_record_numbers,latitude,longitude,source_url,retrieved_at,raw_source_file
City of Tampa,Accela Citizen Access,Building,acc-3eaac971c683082698c3,26TMP-062636,Residential Roof Trade Permit,,,,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,4103 W Vasconia St T 33629,4103,W Vasconia St T 33629,,,33629,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-98eb21f1ee27d26bdc4b,26TMP-063023,Residential Utility Application,,,,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,3101 W Sunset Dr T 33629,3101,W Sunset Dr T 33629,,,33629,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-f9ef98abb96987fdae3f,26TMP-065418,Residential Roof Trade Permit,,,,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,1601 E 15th Ave T 33605,1601,E 15th Ave T 33605,,,33605,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-cea02762d778aa598cdc,26TMP-065538,Residential Permit Extension,,,,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,1610 E 28th Ave T 33605,1610,E 28th Ave T 33605,,,33605,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-fc85306a35a572345618,26TMP-065568,Commercial Building Alterations (Renovations),,,,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,1630 W Snow Ave T 33606,1630,W Snow Ave T 33606,,,33606,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-a2f6a69ac463d72e3283,26TMP-065595,Tree Removal and Pruning Permit,,,,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,1302 E Hillsborough Ave T 33604,1302,E Hillsborough Ave T 33604,,,33604,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-149ececc4c7dd80e3382,26TMP-065608,Residential Plumbing Trade Permit,,,,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,4800 W Neptune Way T 33609,4800,W Neptune Way T 33609,,,33609,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-a483dce01f0251f8a5c5,26TMP-065625,Residential Building Trade Permit,,,,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,1301 E New Orleans Ave T 33603,1301,E New Orleans Ave T 33603,,,33603,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-eae82162db2a87afd469,26TMP-065661,Commercial Miscellaneous Permit,,,,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,13036 N Dale Mabry Hwy H 33618,13036,N Dale Mabry Hwy H 33618,,,13036,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
City of Tampa,Accela Citizen Access,Building,acc-a11f4f4f594acf3a3c7e,26TMP-065667,Residential Electrical Trade Permit,,,,2026-08-31,,,,,,,2026-08-31,application_opened,2026-09-01,2026-09-01,2026-09-01,0,prospective_snapshot,,,7213 N 41st St T 33604,7213,N 41st St T 33604,,,33604,,,,,,,,,,,,,,2026-09-01T04:00:03.052581+00:00,data/raw/accela/month-end-freezes/2026-09-01/building/day-freeze-2026-08-31/00004-search-export-1fa6dcef19a3.csv
